,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
18,244,1586,7966,120000,120000,120000,-2.8346170830047255,-2.2736535636378257,-1.6455671086318562,0.45922300257675597
19,167,1065,5775,120000,120000,120000,-2.7601580720223406,-2.254775734684004,-1.6153525803309372,0.4843684356196775
20,138,1004,5660,120000,120000,120000,-2.8730615097536685,-2.284891313435595,-1.640380374243298,0.43872494424191366
21,165,992,5432,120000,120000,120000,-2.934767792420602,-2.375064487603301,-1.7129235788288686,0.3435499525984881
22,253,1509,7384,120000,120000,120000,-2.836386230568051,-2.2987598497575132,-1.669489872789473,0.4524845359958518
23,182,1282,7122,120000,120000,120000,-2.878880887843181,-2.282760181136914,-1.6120541332820462,0.4572467498862861
24,201,1294,6716,120000,120000,120000,-2.8383616515336807,-2.273784810030583,-1.6238424696762384,0.4567057260271058
25,174,1149,6529,120000,120000,120000,-2.8227125962335395,-2.3034883326614923,-1.6443969006160248,0.45729363466547424
26,353,1782,7863,120000,120000,120000,-2.737336656806252,-2.221143752692242,-1.6329506596942465,0.46704336983281924
27,214,1235,6689,120000,120000,120000,-2.796277471211847,-2.288550068985037,-1.643959486489975,0.4591069468483907
28,291,1465,6929,120000,120000,120000,-2.795693536303008,-2.288809263216035,-1.7023408511291043,0.4490810607060935
29,168,1047,5679,120000,120000,120000,-2.9546539634605153,-2.3726499142666038,-1.701497717210119,0.30914459713291836
30,392,1950,8427,120000,120000,120000,-2.8066270824886668,-2.291953162585015,-1.698841744432357,0.44382492420682573
31,123,929,5324,120000,120000,120000,-3.001264872148737,-2.385231151725341,-1.7158352408245041,0.3646002250958661
32,201,1244,6634,120000,120000,120000,-2.827531671107021,-2.2798555791282293,-1.6496225856697917,0.4594414867638599
33,155,920,5233,120000,120000,120000,-2.886175197680803,-2.351302026705868,-1.699712847029437,0.41174143342863556
34,292,1530,7451,120000,120000,120000,-2.8192969589965315,-2.2912807688688135,-1.6622666943825304,0.4536127500422604
35,152,1057,6039,120000,120000,120000,-2.9089833805432805,-2.282956664830289,-1.6179262822394689,0.43170753758280456
36,351,1663,7300,120000,120000,120000,-2.7247692428328802,-2.253161477615384,-1.6727764987343,0.46793442934882956
37,188,1074,5456,120000,120000,120000,-2.813718580581187,-2.2532326721615417,-1.6575626233553193,0.4587118349566695
38,294,1499,7278,120000,120000,120000,-2.795173245525661,-2.2995033429938427,-1.6886792832507904,0.4411528889226247
39,160,962,5716,120000,120000,120000,-2.878581842186549,-2.3386759174272704,-1.655947034612372,0.39194711123032266
40,299,1842,8723,120000,120000,120000,-2.8888993741879347,-2.298521139672647,-1.6782612054565893,0.44762633200472157
41,131,782,4564,120000,120000,120000,-2.9064342106188725,-2.3701154605782486,-1.7144211738119282,0.3809402174697598
42,152,1131,6176,120000,120000,120000,-2.8976459943293458,-2.2965963529579723,-1.6737377199618204,0.4446665499209902
43,284,1553,7351,120000,120000,120000,-2.885563191362561,-2.322479548841825,-1.676392716323429,0.3270479739632888
44,234,1369,6922,120000,120000,120000,-2.9073731066631874,-2.3179570547793427,-1.7011801552003916,0.44243313483290614
45,160,1110,6061,120000,120000,120000,-2.90043787776064,-2.2912140109150774,-1.6762698911595864,0.45927304313547046
46,256,1379,7212,120000,120000,120000,-2.8506943115585033,-2.327849053737915,-1.6837487204586976,0.44598916259060273
47,224,1308,7002,120000,120000,120000,-2.8508198200267527,-2.276013933375638,-1.6254336928579691,0.4404557667532657
48,265,1367,6862,120000,120000,120000,-2.8998570898599123,-2.3664962504512146,-1.7108806225731326,0.3444175333119285
49,169,1140,6502,120000,120000,120000,-2.866436933315933,-2.298845923856826,-1.6380055913262015,0.45474035190430045
50,182,1032,6186,120000,120000,120000,-2.812167565296452,-2.2860915602282823,-1.6062466002057423,0.4280549727710305
51,73,688,4263,120000,120000,120000,-2.8975100530794045,-2.2658511940498993,-1.6196658796140346,0.4491464614506289
52,123,883,5033,120000,120000,120000,-3.0784043206591685,-2.445446436842153,-1.7261164191525973,0.00020270856184117185
53,159,974,5363,120000,120000,120000,-3.026720410049112,-2.4274226720583556,-1.7414629833288113,0.21921627488262374
54,135,988,5455,120000,120000,120000,-2.8722671070944936,-2.284105433582684,-1.651191702286743,0.44718790313351464
55,183,1223,6781,120000,120000,120000,-2.8827313112346165,-2.2890642487547987,-1.621931865368297,0.4625715153792256
56,147,961,5150,120000,120000,120000,-2.9082039632529932,-2.3378564751172686,-1.7008104560227415,0.3925680090143379
57,412,1982,9080,120000,120000,120000,-2.7777948741462466,-2.2918542528370227,-1.6586033007568202,0.451265750145762
58,240,1245,5924,120000,120000,120000,-2.77170573801566,-2.2707184957854096,-1.6800554840822954,0.45205526640709603
59,111,852,4865,120000,120000,120000,-2.8814625578224984,-2.286471797707331,-1.6508016167176494,0.43875615102281484
60,265,1605,7456,120000,120000,120000,-2.8341403772657605,-2.2735352988592554,-1.677953610617914,0.4533947547988053
61,386,1739,7738,120000,120000,120000,-2.7442268267704937,-2.244321810189491,-1.6453203566964518,0.46293581641431947
62,362,1621,7312,120000,120000,120000,-2.721146288293452,-2.270961635568049,-1.6714166734099367,0.4540012392483338
63,266,1565,7583,120000,120000,120000,-2.829222038570287,-2.2889633818928465,-1.6704279800219743,0.44520242397242515
64,240,1318,6616,120000,120000,120000,-2.76075958578945,-2.270579177564773,-1.6410192265268089,0.46435714889646934
65,202,1222,5976,120000,120000,120000,-2.861522064239977,-2.305404223027793,-1.6815829982159918,0.44473392875660656
66,133,1007,5549,120000,120000,120000,-2.8801652072386776,-2.280598517436812,-1.6458997222128755,0.4436551949564296
67,145,972,5330,120000,120000,120000,-2.8603338539583225,-2.2933587167077296,-1.6638430672754272,0.4420689504895964
68,182,1192,6700,120000,120000,120000,-2.823372883780219,-2.3012301360792424,-1.6404929598489406,0.4572878842310336
69,175,1137,5949,120000,120000,120000,-2.9259052200878464,-2.3078948210356556,-1.6902992271964186,0.4435847631094062
70,166,1065,5886,120000,120000,120000,-2.9273198350442264,-2.343933740012912,-1.6738851141716569,0.35268612058868914
71,187,1149,6468,120000,120000,120000,-2.8440285243076344,-2.3325616722576195,-1.651758617963956,0.44361254152323176
72,228,1427,7037,120000,120000,120000,-2.9610134918987425,-2.3566812356454765,-1.6944459429170742,0.2980475903441283
73,127,923,5606,120000,120000,120000,-2.903654829621085,-2.318539422271876,-1.6460130004488038,0.4340954369590222
74,180,1203,6380,120000,120000,120000,-2.8486754508320224,-2.279087515202784,-1.6480601037497917,0.45324875307619417
75,277,1412,6886,120000,120000,120000,-2.860161982729659,-2.319270626289112,-1.7011428861609306,0.4333904589977987
76,212,1105,5601,120000,120000,120000,-2.8822660079590734,-2.3546015340507704,-1.7093093569292719,0.30353627006079653
77,165,1111,5908,120000,120000,120000,-2.86944323756578,-2.290572224021568,-1.692294536219598,0.4613583451152975
78,386,1832,8481,120000,120000,120000,-2.8159734723459167,-2.313882405493211,-1.6946845058830333,0.44556256420257223
79,481,2242,9443,120000,120000,120000,-2.742233554712403,-2.2311993039420432,-1.6517705582769904,0.475918087272023
80,368,1849,8231,120000,120000,120000,-2.8553682677501215,-2.3024671586696703,-1.7073173482971296,0.44388760668610466
81,260,1506,7279,120000,120000,120000,-2.8633643598865905,-2.302313330531529,-1.675702749411879,0.44125784037309523
82,197,1251,6454,120000,120000,120000,-2.8508377689295807,-2.2684013336844098,-1.6602292342738805,0.4604959704745104
83,280,1522,6496,120000,120000,120000,-2.7990224749753194,-2.2966684389005914,-1.7354707027717802,0.4356674346544101
84,182,1140,6140,120000,120000,120000,-2.8707636798763323,-2.2914928121584435,-1.675021054237404,0.4463431526701365
85,276,1510,7542,120000,120000,120000,-2.8267004954640136,-2.297828763020285,-1.6624268373199362,0.4465867037943423
86,224,1429,7429,120000,120000,120000,-2.905497556176353,-2.321867061134167,-1.6676746455358167,0.416642238119676
87,383,1843,8152,120000,120000,120000,-2.82142080428176,-2.311206550040006,-1.712941869169285,0.45126843101777375
88,221,1250,6116,120000,120000,120000,-2.803936734373181,-2.291129456531589,-1.6896104179007772,0.4448001436926949
89,203,1190,5946,120000,120000,120000,-2.846951191967232,-2.3121139420768,-1.6997359142267268,0.44683974738630583
90,211,1169,5971,120000,120000,120000,-2.841743821505144,-2.288789596231625,-1.6843997154951964,0.4429734341556564
91,188,1093,5922,120000,120000,120000,-2.8844862806803535,-2.3104262297608504,-1.6898931114015343,0.44397430276569516
92,381,1803,7838,120000,120000,120000,-2.7187328524697065,-2.212309949890638,-1.6375533161594409,0.46557409558319773
93,226,1272,6655,120000,120000,120000,-2.8195993161795405,-2.259759137149549,-1.645548845424167,0.456866496251651
94,211,1197,6559,120000,120000,120000,-2.8362581762697703,-2.2763287677371498,-1.650669842895386,0.4595144920300518
95,330,1556,6910,120000,120000,120000,-2.7863657135792064,-2.280066686860013,-1.6937711616930868,0.45696603391214624
96,201,1118,6334,120000,120000,120000,-2.8407492684406357,-2.2942215776737918,-1.6593743366354907,0.45222936390345386
97,186,1155,5870,120000,120000,120000,-2.8909197010180065,-2.304397189639231,-1.7091232584854952,0.4348260508547469
98,237,1384,7285,120000,120000,120000,-2.952817429231312,-2.368515657470544,-1.676613137915758,0.2930233797130972
99,371,1953,9149,120000,120000,120000,-2.819721774933396,-2.2856346522263062,-1.6688655410779578,0.45547031674831634
